"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"784","42792571",55,35,65,46.6666666666667,35,65,35,35,35,37.5,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785","42792823",20,20,20,35,30,40,25,20,30,48.3333333333333,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786","42820074",16.6666666666667,15,20,23.3333333333333,15,35,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","42884497",NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788","42892754",40,15,65,36.6666666666667,35,40,27.5,15,40,66,65,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789","42973581",20,20,20,35,35,35,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790","42977679",27.5,15,40,NA,NA,NA,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791","42979655",23.3333333333333,15,40,55,35,65,26.6666666666667,10,40,50,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792","42981495",65,65,65,37.3333333333333,32,40,63.3333333333333,40,85,32.5,30,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","42987727",13.3333333333333,10,15,20,15,30,26.6666666666667,15,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","42991676",15,15,15,30,30,30,10,10,10,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"795","42995862",15,15,15,20,20,20,15,15,15,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
