"","field_1","start_p10","lon","lat","altitude","dpto_ccdgo","mpio_ccdgo","zu_ccdgo","zu_cdivi","setu_ccdgo","setu_ccnct","secu_ccdgo","secu_ccnct","manz_ccdgo","manz_ccnct","cod_ctstr","manz_narea","manz_lati","manz_long","shape_Leng","shape_Area","MANZ_VIV","FT_ACT_VIV","Municipio"
"293",791,42792823,-75.553352355957,6.28970909118652,1554,"5","1","0","5001000","106","50011000000000104","3","5001100000000010240","11","5.00110000000001e+20","50010106036",3780.75415039062,6.28958892822266,-75.5536575317383,0.00362906930968165,3.08760007783349e-07,87,"VIV_CNPV2018","Medellin"
"294",794,42892754,-75.5476913452148,6.29920339584351,1635,"5","1","0","5001000","103","50011000000000104","3","5001100000000010240","7","5.00110000000001e+20","50010103043",1565.00390625,6.29937028884888,-75.5475921630859,0.00159937213174999,1.27809997252371e-07,47,"VIV_CNPV2018","Medellin"
"295",796,42977679,-75.5302963256836,6.23865032196045,1843,"5","1","0","5001000","9066","50011000000009064","1","5001100000000906240","33","5.00110000000091e+20","50010816025",3125.91528320312,6.23875284194946,-75.5304946899414,0.00241458951495588,2.55260005133096e-07,28,"VIV_CNPV2018","Medellin"
"296",798,42981495,-75.5480194091797,6.29828500747681,1656,"5","1","0","5001000","103","50011000000000104","4","5001100000000010240","6","5.00110000000001e+20","50010103034",2075.82421875,6.29851722717285,-75.5479965209961,0.00202483148314059,1.69529997151585e-07,46,"VIV_CNPV2018","Medellin"
"297",801,42995862,-75.5256881713867,6.23341226577759,1851,"5","1","0","5001000","9067","50011000000009064","1","5001100000000906240","37","5.00110000000091e+20","50010817001",38808.3125,6.23278903961182,-75.5266876220703,0.0114316316321492,3.16904993269418e-06,59,"VIV_CNPV2018","Medellin"
"298",805,43030246,-75.5481796264648,6.29660654067993,1670,"5","1","0","5001000","103","50011000000000104","5","5001100000000010240","6","5.00110000000001e+20","50010103019",3674.015625,6.29681873321533,-75.5480575561523,0.0030283541418612,3.00050004398145e-07,131,"VIV_CNPV2018","Medellin"
"299",815,43066859,-75.5258102416992,6.23339462280273,1851,"5","1","0","5001000","9067","50011000000009064","1","5001100000000906240","23","5.00110000000091e+20","50010817023",1787.42370605469,6.23366928100586,-75.5256576538086,0.00209514633752406,1.45960001418644e-07,64,"VIV_CNPV2018","Medellin"
"300",818,43070884,-75.5490570068359,6.24134540557861,1574,"5","1","0","5001000","904","50011000000000904","1","5001100000000090112","36","5.00110000000009e+20","0",754.747192382812,6.24138307571411,-75.5489959716797,0.00131101754959673,6.16299971056833e-08,0,"OTROS USOS","Medellin"
"301",819,43073733,-75.5473785400391,6.30048704147339,1652,"5","1","0","5001000","103","50011000000000104","3","5001100000000010240","9","5.00110000000001e+20","50010103035",10736.4072265625,6.30041694641113,-75.5481796264648,0.00800346489995718,8.76820024586777e-07,243,"RECUENTO 2021","Medellin"
"302",821,43078979,-75.5503234863281,6.29536294937134,1630,"5","1","0","5001000","204","50011000000000208","1","5001100000000020480","13","5.00110000000002e+20","50010207048",1433.33166503906,6.29551553726196,-75.55029296875,0.00242820614948869,1.1705999725109e-07,77,"VIV_CNPV2018","Medellin"
"303",822,43083979,-75.5499038696289,6.29539108276367,1637,"5","1","0","5001000","204","50011000000000208","1","5001100000000020480","13","5.00110000000002e+20","50010207048",1433.33166503906,6.29551553726196,-75.55029296875,0.00242820614948869,1.1705999725109e-07,77,"VIV_CNPV2018","Medellin"
